opcode         name                      target                              args                                                                          kwargs
call_function  add_167                   aten.add.Tensor                     (getitem_20, 1e-05)                                                           {}
call_function  rsqrt_4                   aten.rsqrt.default                  (add_167,)                                                                    {}
call_function  mul_101                   aten.mul.Tensor                     (sub_53, rsqrt_4)                                                             {}
call_function  mul_102                   aten.mul.Tensor                     (mul_101, arg29_1)                                                            {}
call_function  add_168                   aten.add.Tensor                     (mul_102, arg30_1)                                                            {}
call_function  convert_element_type_34   prims.convert_element_type.default  (add_168, torch.float16)                                                      {}
call_function  permute_8                 aten.permute.default                (arg31_1, [1, 0])                                                             {}
call_function  addmm_8                   aten.addmm.default                  (arg32_1, convert_element_type_34, permute_8)                                 {}
call_function  split_2                   aten.split.Tensor                   (addmm_8, 768, -1)                                                            {}
call_function  getitem_22                <built-in function getitem>         (split_2, 0)                                                                  {}
call_function  getitem_23                <built-in function getitem>         (split_2, 1)                                                                  {}
call_function  getitem_24                <built-in function getitem>         (split_2, 2)                                                                  {}
call_function  full_2                    aten.full.default                   ([arg1_1, 768], 0)                                                            {'dtype': torch.float16, 'layout': torch.strided, 'device': device(type='cuda', index=0), 'pin_memory': False}
call_function  view_18                   aten.reshape.default                (getitem_22, [-1, 12, 64])                                                    {}
call_function  view_20                   aten.reshape.default                (getitem_23, [-1, 12, 64])                                                    {}
call_function  view_21                   aten.reshape.default                (getitem_24, [-1, 12, 64])                                                    {}
call_function  full_default_2            aten.full.default                   ([arg1_1, 12, 64], 0.0)                                                       {'dtype': torch.float16, 'layout': torch.strided, 'device': device(type='cuda', index=0), 'pin_memory': False}
call_function  auto_functionalized_2     auto_functionalized                 (<OpOverload(op='vllm.unified_attention_with_output', overload='default')>,)  {'query': view_18, 'key': view_20, 'value': view_21, 'output': full_default_2, 'layer_name': 'model.decoder.layers.2.self_attn.attn', 'output_scale': None, 'output_block_scale': None}
call_function  getitem_26                <built-in function getitem>         (auto_functionalized_2, 1)                                                    {}
call_function  capture_mean_default_2    whitebox.capture_mean.default       (getitem_26, 'model.decoder.layers.2.self_attn.attn')                         {}
call_function  view_22                   aten.reshape.default                (capture_mean_default_2, [arg1_1, 768])                                       {}
call_function  permute_9                 aten.permute.default                (arg33_1, [1, 0])                                                             {}
call_function  mm_default_29             aten.mm.default                     (view_22, permute_9)                                                          {}
call_function  add_tensor_29             aten.add.Tensor                     (mm_default_29, arg34_1)                                                      {}
call_function  add_215                   aten.add.Tensor                     (add_163, add_tensor_29)                                                      {}
call_function  convert_element_type_41   prims.convert_element_type.default  (add_215, torch.float32)                                                      {}
call_function  var_mean_5                aten.var_mean.correction            (convert_element_type_41, [1])                                                {'correction': 0, 'keepdim': True}
call_function  getitem_28                <built-in function getitem>         (var_mean_5, 0)                                                               {}
call_function  getitem_29                <built-in function getitem>         (var_mean_5, 1)                                                               {}
call_function  sub_69                    aten.sub.Tensor                     (convert_element_type_41, getitem_29)                                         {}
call_function  add_219                   aten.add.Tensor                     (getitem_28, 1e-05)                                                           {}
call_function  rsqrt_5                   aten.rsqrt.default                  (add_219,)                                                                    {}
call_function  mul_132                   aten.mul.Tensor                     (sub_69, rsqrt_5)                                                             {}
call_function  mul_133                   aten.mul.Tensor                     (mul_132, arg35_1)                                                            {}
call_function  add_220                   aten.add.Tensor                     (mul_133, arg36_1)                                                            {}
call_function  convert_element_type_42   prims.convert_element_type.default  (add_220, torch.float16)                                                      {}
call_function  permute_10                aten.permute.default                (arg37_1, [1, 0])                                                             {}
call_function  mm_default_28             aten.mm.default                     (convert_element_type_42, permute_10)                                         {}
call_function  add_tensor_28             aten.add.Tensor                     (mm_default_28, arg38_1)                                                      {}
call_function  relu_2                    aten.relu.default                   (add_tensor_28,)                                                              {}
call_function  permute_11                aten.permute.default                (arg39_1, [1, 0])                                                             {}
call_function  mm_default_27             aten.mm.default                     (relu_2, permute_11)                                                          {}
call_function  add_tensor_27             aten.add.Tensor                     (mm_default_27, arg40_1)                                                      {}
call_function  add_239                   aten.add.Tensor                     (add_215, add_tensor_27)                                                      {}
call_function  convert_element_type_49   prims.convert_element_type.default  (add_239, torch.float32)                                                      {}
call_function  var_mean_6                aten.var_mean.correction            (convert_element_type_49, [1])                                                {'correction': 0, 'keepdim': True}
call_function  getitem_30                <built-in function getitem>         (var_mean_6, 0)                                                               {}
call_function  getitem_31                <built-in function getitem>         (var_mean_6, 1)                                                               {}
call_function  sub_77                    aten.sub.Tensor                     (convert_element_type_49, getitem_31)                                         {}
call_function  add_243                   aten.add.Tensor                     (getitem_30, 1e-05)                                                           {}
call_function  rsqrt_6                   aten.rsqrt.default                  (add_243,)                                                                    {}
call_function  mul_147                   aten.mul.Tensor                     (sub_77, rsqrt_6)                                                             {}
call_function  mul_148                   aten.mul.Tensor                     (mul_147, arg41_1)                                                            {}
call_function  add_244                   aten.add.Tensor                     (mul_148, arg42_1)                                                            {}
call_function  convert_element_type_50   prims.convert_element_type.default  (add_244, torch.float16)                                                      {}
call_function  permute_12                aten.permute.default                (arg43_1, [1, 0])                                                             {}
call_function  addmm_12                  aten.addmm.default                  (arg44_1, convert_element_type_50, permute_12)                                {}
call_function  split_3                   aten.split.Tensor                   (addmm_12, 768, -1)                                                           {}
call_function  getitem_32                <built-in function getitem>         (split_3, 0)                                                                  {}
call_function  getitem_33                <built-in function getitem>         (split_3, 1)                                                                  {}
call_function  getitem_34                <built-in function getitem>         (split_3, 2)                                                                  {}
call_function  full_3                    aten.full.default                   ([arg1_1, 768], 0)                                                            {'dtype': torch.float16, 'layout': torch.strided, 'device': device(type='cuda', index=0), 'pin_memory': False}
call_function  view_27                   aten.reshape.default                (getitem_32, [-1, 12, 64])                                                    {}
call_function  view_29                   aten.reshape.default                (getitem_33, [-1, 12, 64])                                                    {}
call_function  view_30                   aten.reshape.default                (getitem_34, [-1, 12, 64])                                                    {}
call_function  full_default_3            aten.full.default                   ([arg1_1, 12, 64], 0.0)                                                       {'dtype': torch.float16, 'layout': torch.strided, 'device': device(type='cuda', index=0), 'pin_memory': False}
call_function  auto_functionalized_3     auto_functionalized                 (<OpOverload(op='vllm.unified_attention_with_output', overload='default')>,)  {'query': view_27, 'key': view_29, 'value': view_30, 'output': full_default_3, 'layer_name': 'model.decoder.layers.3.self_attn.attn', 'output_scale': None, 'output_block_scale': None}
call_function  getitem_36                <built-in function getitem>         (auto_functionalized_3, 1)                                                    {}
call_function  capture_mean_default_3    whitebox.capture_mean.default       (getitem_36, 'model.decoder.layers.3.self_attn.attn')                         {}
call_function  view_31                   aten.reshape.default                (capture_mean_default_3, [arg1_1, 768])                                       {}
call_function  permute_13                aten.permute.default                (arg45_1, [1, 0])                                                             {}
call_function  mm_default_26             aten.mm.default                     (view_31, permute_13)                                                         {}
call_function  add_tensor_26             aten.add.Tensor                     (mm_default_26, arg46_1)                                                      {}
call_function  add_291                   aten.add.Tensor                     (add_239, add_tensor_26)                                                      {}
call_function  convert_element_type_57   prims.convert_element_type.default  (add_291, torch.float32)                                                      {}
call_function  var_mean_7                aten.var_mean.correction            (convert_element_type_57, [1])                                                {'correction': 0, 'keepdim': True}
call_function  getitem_38                <built-in function getitem>         (var_mean_7, 0)                                                               {}
call_function  getitem_39                <built-in function getitem>         (var_mean_7, 1)                                                               {}
call_function  sub_93                    aten.sub.Tensor                     (convert_element_type_57, getitem_39)                                         {}
call_function  add_295                   aten.add.Tensor                     (getitem_38, 1e-05)                                                           {}
call_function  rsqrt_7                   aten.rsqrt.default                  (add_295,)                                                                    {}
call_function  mul_178                   aten.mul.Tensor                     (sub_93, rsqrt_7)                                                             {}
call_function  mul_179                   aten.mul.Tensor                     (mul_178, arg47_1)                                                            {}
call_function  add_296                   aten.add.Tensor                     (mul_179, arg48_1)                                                            {}
call_function  convert_element_type_58   prims.convert_element_type.default  (add_296, torch.float16)                                                      {}
call_function  permute_14                aten.permute.default                (arg49_1, [1, 0])                                                             {}
call_function  mm_default_25             aten.mm.default                     (convert_element_type_58, permute_14)                                         {}
call_function  add_tensor_25             aten.add.Tensor                     (mm_default_25, arg50_1)                                                      {}
call_function  relu_3                    aten.relu.default                   (add_tensor_25,)                                                              {}
call_function  permute_15                aten.permute.default                (arg51_1, [1, 0])                                                             {}
call_function  mm_default_24             aten.mm.default                     (relu_3, permute_15)                                                          {}
call_function  add_tensor_24             aten.add.Tensor                     (mm_default_24, arg52_1)                                                      {}
call_function  add_315                   aten.add.Tensor                     (add_291, add_tensor_24)                                                      {}
call_function  convert_element_type_65   prims.convert_element_type.default  (add_315, torch.float32)                                                      {}
call_function  var_mean_8                aten.var_mean.correction            (convert_element_type_65, [1])                                                {'correction': 0, 'keepdim': True}
call_function  getitem_40                <built-in function getitem>         (var_mean_8, 0)                                                               {}
call_function  getitem_41                <built-in function getitem>         (var_mean_8, 1)                                                               {}
call_function  sub_101                   aten.sub.Tensor                     (convert_element_type_65, getitem_41)                                         {}
call_function  add_319                   aten.add.Tensor                     (getitem_40, 1e-05)                                                           {}
call_function  rsqrt_8                   aten.rsqrt.default                  (add_319,)                                                                    {}
call_function  mul_193                   aten.mul.Tensor                     (sub_101, rsqrt_8)                                                            {}
call_function  mul_194                   aten.mul.Tensor                     (mul_193, arg53_1)                                                            {}
call_function  add_320                   aten.add.Tensor                     (mul_194, arg54_1)                                                            {}
